13:50:25.339528 Large marble: Lucky, marbles: Isabelline, Dark Moss Green, Orange Soda, Safety Yellow, Lavender Blue, Maximum Purple, Outrageous Orange
13:50:25.395955 Large marble: 5-Star, marbles: Auburn, Pale Cerulean, Thulian Pink, Purple Plum, Antique Bronze, Orange Soda, Light Orange
13:50:25.470016 Large marble: Winner, marbles: Liver Chestnut, Spanish Orange, Cotton Candy, Light Orange, Vegas Gold, Mint Green, Neon Pink
13:50:25.543547 Large marble: Sure Shot, marbles: Candy Pink, Blue-Green, Stop Red, Lavender Blue, Almond, Arylide Yellow, Slate Blue
13:50:25.617172 Large marble: Winner, marbles: Slate Blue, Lavender Blue, Big Dip O’ruby, Indigo, Russian Violet, Almond, Light Orchid
13:50:25.689514 Large marble: 5-Star, marbles: Green, Granny Smith Apple, Platinum, Mint Green, Silver Pink, Mint Green, Liver Chestnut
13:50:25.763966 Large marble: Winner, marbles: Arylide Yellow, Lumber, Neon Silver, Granny Smith Apple, Russian Violet, Royal Blue, Liver Chestnut
13:50:25.837394 Large marble: Sure Shot, marbles: Pale Taupe, Purple, Royal Orange, Icterine, Beaver, Fiery Rose, Light Orchid
13:50:25.911973 Large marble: Spinner, marbles: Maximum Violet, Fiery Rose, Middle Red Purple, Golden Yellow, Mint Green, Middle Green Yellow, Brown
13:50:25.984074 Large marble: Zeus, marbles: Lumber, Purple, Cotton Candy, Granny Smith Apple, Royal Orange, Pale Goldenrod, Auburn
13:50:26.057564 Large marble: Apollo, marbles: La Salle Green, Dark Fuchsia, Lavender Blue, Candy Pink, Pale Taupe, Maximum Purple, Lavender Purple
13:50:26.131077 Large marble: Zeus, marbles: Lavender Purple, Liver Chestnut, Vegas Gold, Pastel Blue, Maximum Purple, Platinum, Lilac Luster
13:50:26.205809 Large marble: Lucky, marbles: Stop Red, Pastel Gray, Sheen Green, Neon Pink, Lemon Lime, Brown, Thulian Pink
13:50:26.278088 Large marble: Big Joe, marbles: Indigo, Safety Yellow, Russian Green, Purple, Stop Red, Candy Pink, Pale Cerulean
13:50:26.351388 Large marble: 5-Star, marbles: Spanish Pink, Light Orchid, Sheen Green, Liver Chestnut, Pale Cerulean, Sage, Dark Fuchsia
13:50:26.425989 Large marble: 5-Star, marbles: Lavender Purple, Spanish Orange, Thulian Pink, Gold, Lilac Luster, Ivory, Auburn
13:50:26.498846 Large marble: Lucky, marbles: Purple Plum, Mimi Pink, Pastel Gray, Lilac Luster, Emerald, Dark Moss Green, Spanish Pink
13:50:26.573020 Large marble: Hercules, marbles: Indigo, Outrageous Orange, Neon Silver, Dark Fuchsia, Green, Terra Cotta, Middle Red Purple
13:50:26.647881 Large marble: Sure Shot, marbles: La Salle Green, Mulberry, Gold, Tuscan Brown, Cobalt Blue, Indigo, Isabelline
13:50:26.723210 Large marble: 5-Star, marbles: Purple Plum, Silver Chalice, Neon Pink, Duke Blue, Orange Soda, Mint Cream, Black Coral
13:50:26.798145 Large marble: Big Joe, marbles: Beaver, Orange Soda, Cobalt Blue, Pale Plum, Cobalt Blue, Neon Dark Green, Beaver
13:50:26.872914 Large marble: 5-Star, marbles: Orange Soda, Mimi Pink, Arylide Yellow, Purple Plum, Indigo, Lavender Blue, Maximum Blue
13:50:26.947992 Large marble: Zeus, marbles: Mint Green, Stop Red, Dark Moss Green, Dark Moss Green, Bistre Brown, Light Orchid, Beaver
13:50:27.022618 Large marble: Lucky, marbles: Pastel Gray, Tuscan Brown, Royal Red, Pastel Gray, Almond, Liver Chestnut, Liver Chestnut
13:50:27.096797 Large marble: Lucky, marbles: Silver Pink, Royal Red, Vegas Gold, Duke Blue, Dark Fuchsia, Thulian Pink, Pale Plum
13:50:27.171013 Large marble: Zeus, marbles: Bistre Brown, Fiery Rose, Auburn, Royal Red, White Smoke, Zomp, Pale Taupe
13:50:27.244578 Large marble: Lucky, marbles: Silver Pink, Rose Quartz, Purple, Bistre Brown, Dark Moss Green, Big Dip O’ruby, Liver Chestnut
13:50:27.318612 Large marble: Spinner, marbles: Mango Tango, Venetian Red, Brown, Pastel Gray, Middle Red Purple, Pastel Gray, Blue Bell
13:50:27.392532 Large marble: Apollo, marbles: Neon Pink, Pale Taupe, Candy Pink, Icterine, Rose Quartz, Pastel Blue, Rose Dust
13:50:27.467855 Large marble: Sure Shot, marbles: Mode Beige, Rose Dust, Auburn, Middle Green Yellow, Middle Green, Middle Red Purple, Mint Cream
13:50:27.540223 Large marble: Sure Shot, marbles: Stop Red, Almond, Dark Fuchsia, Cotton Candy, Big Dip O’ruby, Maximum Violet, Cotton Candy
13:50:27.613358 Large marble: Zeus, marbles: Spanish Pink, Zomp, Neon Pink, Platinum, Black Coral, White Smoke, Light Orchid
13:50:27.686153 Large marble: Big Joe, marbles: Ruby, Lavender Purple, Stop Red, Ruby, Outrageous Orange, Silver Chalice, Silver Chalice
13:50:27.759041 Large marble: Hercules, marbles: Brink Pink, Beaver, Pale Plum, Mango Tango, Pale Taupe, Orange Peel, Arylide Yellow
13:50:27.832619 Large marble: Sure Shot, marbles: Light Orchid, Gold, Candy Pink, Spanish Carmine, Spanish Orange, Zomp, Silver Chalice
13:50:27.905571 Large marble: Big Joe, marbles: Gold, Royal Blue, White Smoke, Pastel Gray, Royal Blue, Neon Pink, Pastel Gray
13:50:27.979231 Large marble: Hercules, marbles: Neon Silver, Brink Pink, Golden Yellow, Thulian Pink, Mango Tango, Eerie Black, Rose Dust
13:50:28.050925 Large marble: Zeus, marbles: Middle Green Yellow, Silver Pink, Blue-Green, Lavender Blue, Fiery Rose, Venetian Red, Neon Pink
13:50:28.124260 Large marble: Hercules, marbles: Royal Red, Mint Green, Slate Blue, Light Orange, Russian Green, Russian Green, Mint Cream
13:50:28.197125 Large marble: 5-Star, marbles: Mimi Pink, Mode Beige, Safety Yellow, Spanish Orange, Orange Peel, Purple Plum, Mimi Pink
13:50:28.269932 Large marble: Hercules, marbles: Dark Moss Green, Pale Cerulean, Royal Blue, Middle Green, Candy Pink, Beaver, Maximum Blue
13:50:28.344239 Large marble: Sure Shot, marbles: Mimi Pink, Icterine, Maximum Violet, Honeydew, Antique Brass, Liver Chestnut, Rose Quartz
13:50:28.418854 Large marble: 5-Star, marbles: Antique Bronze, Lilac Luster, White Smoke, Tuscan Brown, Emerald, Ruby, Royal Blue
13:50:28.490275 Large marble: 5-Star, marbles: Mode Beige, Big Dip O’ruby, Almond, Blue, Antique Bronze, Slate Blue, Outrageous Orange
13:50:28.564021 Large marble: Apollo, marbles: Blue-Green, Dark Fuchsia, Isabelline, Ivory, Purple Plum, Light Orchid, Tuscan Brown
13:50:28.636393 Large marble: Zeus, marbles: Rose Quartz, Middle Red Purple, Middle Green, Light Orange, Lavender Purple, Zomp, Almond
13:50:28.708764 Large marble: Zeus, marbles: Lemon Lime, Rose Dust, Mint Green, Dark Fuchsia, Auburn, Purple, Russian Green
13:50:28.781802 Large marble: Winner, marbles: Zomp, Big Dip O’ruby, Arylide Yellow, Indigo, Neon Pink, Maximum Purple, Mint Cream
13:50:28.853500 Large marble: 5-Star, marbles: Golden Yellow, Auburn, Silver Chalice, Stop Red, Purple, Spanish Carmine, Lilac Luster
13:50:28.926070 Large marble: Hercules, marbles: Almond, Fiery Rose, Spanish Orange, Brown, Sage, Light Orchid, Orange Peel
13:50:28.999113 Large marble: Apollo, marbles: Light Orange, Maximum Purple, Royal Orange, Platinum, Antique Bronze, Pastel Gray, Silver Chalice
13:50:29.071143 Large marble: Apollo, marbles: Middle Red Purple, Fiery Rose, Stop Red, Outrageous Orange, Platinum, Antique Brass, Middle Green Yellow
13:50:29.143028 Large marble: Zeus, marbles: Terra Cotta, Gold, Blue Bell, Gold, Middle Green, Honeydew, Zomp
13:50:29.215283 Large marble: Zeus, marbles: Middle Green, Mimi Pink, Silver Chalice, Silver Pink, Middle Green Yellow, Pale Goldenrod, Cotton Candy
13:50:29.287637 Large marble: Apollo, marbles: Spanish Orange, Dark Moss Green, Cotton Candy, Pastel Blue, Auburn, Neon Pink, Almond
